match_id,home_team,away_team
15186676,Panama,England
15186717,DR Congo,Uzbekistan
15186696,Colombia,Portugal
15186747,Algeria,Austria
15186734,Jordan,Argentina
12813000,South Africa,Canada
12813012,Brazil,Japan
12813014,Germany,Paraguay
12812998,Netherlands,Morocco
12812989,Côte d'Ivoire,Norway
12812995,France,Sweden
12813001,Mexico,Ecuador
12813020,England,DR Congo
12813013,Belgium,Senegal
12812992,USA,Bosnia & Herzegovina
12813004,Spain,Austria
12812997,Portugal,Croatia
12813019,Switzerland,Algeria
12813018,Australia,Egypt
12812999,Argentina,Cabo Verde
12813011,Colombia,Ghana
12813009,Canada,Morocco
12813010,Paraguay,France
12813006,Brazil,Norway
12813007,Mexico,England
12812990,Portugal,Spain
12813002,USA,Belgium
12812993,Argentina,Egypt
12812991,Switzerland,Colombia
12813016,France,Morocco
15186499,Belgium,Iran
15186800,Uruguay,Cabo Verde
15186827,New Zealand,Egypt
15186502,Argentina,Austria
15186769,France,Iraq
15186770,Norway,Senegal
15186740,Jordan,Algeria
15186858,Portugal,Uzbekistan
15186672,England,Ghana
15186520,Panama,Croatia
15186713,Colombia,DR Congo
15186829,Bosnia & Herzegovina,Qatar
15186821,Switzerland,Canada
15186864,Morocco,Haiti
15186861,Scotland,Brazil
15186744,South Africa,South Korea
15186732,Czechia,Mexico
15186908,Curaçao,Côte d'Ivoire
15186907,Ecuador,Germany
15186972,Japan,Sweden
15186973,Tunisia,Netherlands
15186891,Paraguay,Australia
15186887,Türkiye,USA
15186771,Senegal,Iraq
15186537,Norway,France
15186803,Cabo Verde,Saudi Arabia
15186841,Uruguay,Spain
15186822,New Zealand,Belgium
15186828,Egypt,Iran
15186624,Croatia,Ghana
15186874,Australia,Türkiye
15186899,Germany,Curaçao
15186945,Netherlands,Japan
15186904,Côte d'Ivoire,Ecuador
15186951,Sweden,Tunisia
15186783,Spain,Cabo Verde
15186837,Belgium,Egypt
15186811,Saudi Arabia,Uruguay
15186832,Iran,New Zealand
15186501,France,Senegal
15186773,Iraq,Norway
15186854,Argentina,Algeria
15186751,Austria,Jordan
15186709,Portugal,DR Congo
15186504,England,Croatia
15186687,Ghana,Panama
15186722,Uzbekistan,Colombia
15186731,Czechia,South Africa
15186806,Switzerland,Bosnia & Herzegovina
15186798,Canada,Qatar
15186490,Mexico,South Korea
15186878,USA,Australia
15186859,Scotland,Morocco
15186856,Brazil,Haiti
15186879,Türkiye,Paraguay
15186957,Netherlands,Sweden
15186905,Germany,Côte d'Ivoire
15186906,Ecuador,Curaçao
15186963,Tunisia,Japan
15186840,Spain,Saudi Arabia
15186710,Mexico,South Africa
15186720,South Korea,Czechia
15186836,Canada,Bosnia & Herzegovina
15186873,USA,Paraguay
15186526,Qatar,Switzerland
15186850,Brazil,Morocco
